timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
3520,352,0,7e22,DL,4,0,11,0,0,1,117.22,4.20
3553,355,3,7e22,DL,2,12,47,15,0,1,199.19,5.36
3572,357,2,7e22,DL,2,0,4,15,0,1,288.33,3.70
3577,357,7,7e22,DL,2,7,28,15,0,1,309.10,3.46
3599,359,9,7e22,DL,2,0,4,15,0,1,389.02,2.75
3622,362,2,1a69,DL,4,0,11,0,0,1,75.43,6.52
3627,362,7,7e22,DL,2,3,13,15,0,1,468.24,2.28
3652,365,2,7e22,DL,2,0,4,15,0,1,522.40,2.04
3653,365,3,7e22,DL,2,5,18,15,0,1,524.30,2.04
3672,367,2,7e22,DL,2,0,4,15,0,1,556.92,1.92
3673,367,3,7e22,DL,2,27,157,15,0,1,558.47,1.91
3674,367,4,1a69,DL,2,12,47,15,0,1,263.55,4.05
3692,369,2,7e22,DL,2,0,4,15,0,1,585.16,1.83
3693,369,3,1a69,DL,2,0,4,15,0,1,341.50,3.13
3699,369,9,1a69,DL,2,7,28,15,0,1,363.18,2.94
3708,370,8,7e22,DL,2,1,7,15,0,1,604.00,1.77
3716,371,6,7e22,DL,2,11,41,15,0,1,612.35,1.74
3720,372,0,1a69,DL,2,0,4,15,0,1,429.55,2.49
3738,373,8,1a69,DL,2,3,13,15,0,1,476.30,2.24
3743,374,3,7e22,DL,2,1,7,15,0,1,636.03,1.68
3763,376,3,1a69,DL,2,0,4,15,0,1,528.66,2.02
3764,376,4,1a69,DL,2,5,18,15,0,1,530.50,2.01
3769,376,9,7e22,DL,2,0,4,15,0,1,653.50,1.63
3783,378,3,1a69,DL,2,0,4,15,0,1,562.05,1.90
3784,378,4,1a69,DL,2,27,157,15,0,1,563.55,1.90
3803,380,3,1a69,DL,2,0,4,15,0,1,589.35,1.81
3819,381,9,1a69,DL,2,1,7,15,0,1,607.57,1.76
3824,382,4,1a69,DL,2,11,41,15,0,1,612.69,1.74
3840,384,0,1a69,DL,2,11,41,15,0,1,627.44,1.70
3854,385,4,1a69,DL,2,1,7,15,0,1,638.54,1.67
3880,388,0,1a69,DL,2,0,4,15,0,1,655.43,1.63
1551,155,1,1a69,DL,2,0,4,15,0,1,712.00,1.50
1682,168,2,7e22,DL,2,0,4,15,0,1,712.00,1.50
6943,694,3,1a69,DL,2,0,4,15,0,1,712.00,1.50
7921,792,1,7e22,DL,2,0,4,15,0,1,712.00,1.50
6069,606,9,1a69,DL,2,0,4,15,0,1,712.00,1.50
6781,678,1,1a69,DL,2,0,4,15,0,1,712.00,1.50
6782,678,2,1a69,DL,2,15,69,15,0,1,712.00,1.50
6811,681,1,1a69,DL,2,0,4,15,0,1,712.00,1.50
6812,681,2,1a69,DL,2,23,125,15,0,1,712.00,1.50
6841,684,1,1a69,DL,2,0,4,15,0,1,712.00,1.50
6842,684,2,1a69,DL,2,23,125,15,0,1,712.00,1.50
6864,686,4,1a69,DL,2,10,37,15,0,1,712.00,1.50
6865,686,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6867,686,7,1a69,DL,2,0,4,15,0,1,712.00,1.50
6917,691,7,1a69,DL,2,0,4,15,0,1,712.00,1.50
6918,691,8,1a69,DL,2,14,61,15,0,1,712.00,1.50
6943,694,3,1a69,DL,2,0,4,15,0,1,712.00,1.50
7052,705,2,7e22,DL,2,0,4,15,0,1,712.00,1.50
7053,705,3,7e22,DL,2,15,69,15,0,1,712.00,1.50
7080,708,0,7e22,DL,2,0,4,15,0,1,712.00,1.50
7081,708,1,7e22,DL,2,23,125,15,0,1,712.00,1.50
7110,711,0,7e22,DL,2,0,4,15,0,1,712.00,1.50
7111,711,1,7e22,DL,2,23,125,15,0,1,712.00,1.50
7133,713,3,7e22,DL,18,28,1692,15,0,17,712.00,25.50
7136,713,6,7e22,DL,2,0,4,15,0,1,712.00,1.50
7186,718,6,7e22,DL,2,0,4,15,0,1,712.00,1.50
7187,718,7,7e22,DL,2,14,61,15,0,1,712.00,1.50
7212,721,2,7e22,DL,2,0,4,15,0,1,712.00,1.50
